Max,Min,Peak to Peak Range,Mean,Median,Variance,Skew,Kurtosis,Standard Deviation,Inter Quartile Range
2.7236269902032557,-1.5797781952887253,4.303405185491981,-5.329070518200751e-16,-0.29542511699646995,1.0020876826722336,0.9584516269476198,0.1642011561508876,2.1819423637520963,1.2324617362671968
1.7384858290155294,-1.3085504026455606,3.0470362316610897,1.0362081563168128e-16,-0.12298953846331018,1.0020876826722338,0.25806299846213426,-1.4295908380415394,1.2742088506116709,2.0079831288296037
1.7319932684696384,-1.4413950496774093,3.1733883181470475,5.736152293896642e-16,-0.11915619773607382,1.002087682672234,0.21721051408057007,-1.445194742185565,1.304961855801492,1.9775615218261107
1.6423948666996733,-1.5901217421554334,3.2325166088551067,1.4062824978585316e-16,0.017750909506299768,1.002087682672234,0.024567690859377597,-1.4436214142637795,1.1882372007756343,1.9981056341898054
1.7746084400652578,-1.3425688345351414,3.117177274600399,3.3306690738754695e-17,-0.1595598674990207,1.0020876826722338,0.333449049120201,-1.398173742400312,1.1536764127461658,1.9552875293628977
1.7233411677693538,-1.5002571537808147,3.2235983215501687,6.661338147750939e-17,-0.04716546967346914,1.002087682672234,0.12844522752166412,-1.4146914990519082,0.7678160060443014,1.9990269823798843
1.9467236272129895,-1.538509065832777,3.4852326930457664,-7.771561172376096e-16,-0.1238576764045553,1.0020876826722338,0.2265418777369897,-1.2997484135291837,1.083971670325282,1.8842790749710483
1.593856063008726,-1.4118634773780223,3.0057195403867483,-5.033011044967376e-16,-0.05410375103410517,1.0020876826722338,0.10485878089027116,-1.4993570992504557,1.3125464960889008,2.0790501038252214
1.6549683657916576,-1.4043599188503508,3.0593282846420085,2.0354088784794536e-16,-0.04465557171003592,1.0020876826722338,0.10118684128359995,-1.4562841215822084,1.606228957970142,2.050536452184776
1.8709816761328406,-1.5684035157357266,3.439385191868567,-5.070018479121548e-16,-0.10069753090980768,1.0020876826722338,0.22601540730960917,-1.3310105511937482,0.8700531899202204,1.9408628804576333
1.7362602989885132,-1.353909400923027,3.0901696999115402,6.883382752675971e-16,-0.05776269847831528,1.0020876826722338,0.23568277156963863,-1.406616523903657,0.8996872873257099,2.0067668805550563
1.804476541262453,-1.4017592832636327,3.206235824526086,4.255854927729767e-16,-0.12151678089717732,1.002087682672234,0.29185450915318706,-1.350523668715303,0.9471681807880039,1.915273934229055
2.5893424237006846,-1.2440448396836803,3.833387263384365,5.921189464667501e-17,-0.47563176355906406,1.002087682672234,1.112671794046235,-0.09171006313455754,0.8632285326789056,1.2002681100245427
2.0303892300331707,-1.2878127462319353,3.3182019762651063,-4.070817756958907e-16,-0.16926293516780416,1.0020876826722336,0.24623179980959103,-1.4231418165244254,1.5582768022929818,1.9761008011104884
